OBJECTID,NA_ID,NEIGHB_NAME,STATUS,CLASSIFICA,Web,ShapeSTArea,ShapeSTLength
10597,93,"Highlands Community   Inc., The",Active,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/93.html,6461862.41890519,11775.8661638377
10598,95,Truax    ,Active,Resident Association,https://www.cityofmadison.com/neighborhoods/profile/95.html,938611.960067031,4000.69043240002
10599,96,Vera Court Neighborhood Association,Inactive,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/96.html,610676.394327573,3528.47517533834
10600,97,Vilas    ,Active,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/97.html,8510251.47646336,12730.9959465916
10601,98,Walnut Grove Homeowners  ,Active,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/98.html,6633789.48373918,12264.3660204814
10602,100,Westhaven Trails Homeowners Assoc,Active,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/100.html,6899725.72342244,10911.4805877645
10603,101,Westmorland    ,Active,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/101.html,14923509.9423054,18000.9313803963
10604,102,Westview Meadows Condominium Association,Inactive,Condominium Association,https://www.cityofmadison.com/neighborhoods/profile/102.html,81320.3580714951,1281.45071494248
10605,103,Wexford Crossing Condominium  ,Active,Condominium Association,https://www.cityofmadison.com/neighborhoods/profile/103.html,627296.169627831,3200.56176250297
10606,104,Wexford Ridge Neighborhood,Inactive,Resident Association,https://www.cityofmadison.com/neighborhoods/profile/104.html,904566.198547138,4213.78450658457
10607,105,Wexford Village Condominium Owners Assoc,Active,Condominium Association,https://www.cityofmadison.com/neighborhoods/profile/105.html,158550.251437271,1889.64453947941
10608,106,Wexford Village Homeowners  ,Active,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/106.html,17756852.1415545,20373.7438884089
10609,107,Crestwood,Active,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/107.html,3221975.38731305,7836.04591441727
10610,109,Woodlands Condominium Owners  ,Active,Condominium Association,https://www.cityofmadison.com/neighborhoods/profile/109.html,643667.430525452,3218.19211016289
10611,110,Worthington Park    ,Active,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/110.html,4286242.61036568,9627.23399838258
10612,111,Wyndemere Condominium Homeowners Association,Inactive,Condominium Association,https://www.cityofmadison.com/neighborhoods/profile/111.html,231972.548609459,1915.26475177533
10613,113,Blackhawk Homeowners  ,Active,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/113.html,13087653.181161,21658.4989975554
10614,115,Stone Meadows    ,Active,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/115.html,15365604.715285,19575.726997128
10615,117,Country Grove    ,Active,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/117.html,5702869.20936433,9909.43355891259
10616,121,Prairie Hills    ,Active,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/121.html,14497058.4920964,19445.3859904365
